ng,sw,st,min_df,tfidf,NB_acc,NB_prec,NB_rec,NB_f1,LR_acc,LR_prec,LR_rec,LR_f1,RF_acc,RF_prec,RF_rec,RF_f1,SVM_acc,SVM_prec,SVM_rec,SVM_f1
1,0,0,2,0,0.8253,0.7218,0.7478,0.733,0.8667,0.7863,0.7706,0.778,0.844,0.7776,0.6444,0.6748,0.8667,0.8067,0.7198,0.7503
1,0,0,2,1,0.812,0.7195,0.515,0.4809,0.8227,0.7598,0.5563,0.5565,0.848,0.8296,0.6255,0.6565,0.864,0.7934,0.7289,0.7536
1,0,0,3,0,0.8213,0.7163,0.7426,0.7276,0.8693,0.7897,0.7803,0.7848,0.8453,0.808,0.6265,0.6566,0.8667,0.8003,0.7305,0.7569
1,0,0,3,1,0.8213,0.7694,0.5475,0.5413,0.8213,0.7469,0.5555,0.5555,0.8493,0.8212,0.6343,0.667,0.8667,0.7964,0.7386,0.7615
1,0,1,2,0,0.8307,0.7277,0.743,0.7348,0.8573,0.7688,0.7702,0.7695,0.848,0.8296,0.6255,0.6565,0.8547,0.7816,0.6964,0.725
1,0,1,2,1,0.808,0.6054,0.5045,0.4603,0.8227,0.7598,0.5563,0.5565,0.844,0.8431,0.6069,0.6324,0.8413,0.7456,0.6962,0.7153
1,0,1,3,0,0.8293,0.7255,0.7395,0.732,0.8587,0.771,0.771,0.771,0.848,0.7977,0.6442,0.6766,0.8587,0.7846,0.7149,0.7406
1,0,1,3,1,0.816,0.7723,0.5255,0.5007,0.8213,0.7531,0.5529,0.5509,0.844,0.8278,0.6123,0.6393,0.8533,0.7674,0.725,0.7425
1,1,0,2,0,0.8267,0.724,0.7513,0.7357,0.872,0.7936,0.7873,0.7904,0.8467,0.7949,0.6407,0.6724,0.8667,0.8085,0.7172,0.7486
1,1,0,2,1,0.8347,0.7462,0.6333,0.6594,0.8467,0.7917,0.6433,0.6751,0.844,0.8099,0.6203,0.649,0.8667,0.8003,0.7305,0.7569
1,1,0,3,0,0.8293,0.7279,0.7556,0.7398,0.8707,0.7912,0.7865,0.7888,0.86,0.8402,0.6623,0.7009,0.8667,0.8003,0.7305,0.7569
1,1,0,3,1,0.8413,0.7471,0.6882,0.7097,0.8467,0.7887,0.646,0.6778,0.8467,0.8269,0.622,0.6519,0.868,0.8024,0.734,0.7601
1,1,1,2,0,0.8347,0.7336,0.7482,0.7404,0.8613,0.7751,0.778,0.7765,0.8493,0.8078,0.6423,0.6754,0.8533,0.7792,0.6929,0.7215
1,1,1,2,1,0.82,0.7723,0.5413,0.5303,0.8293,0.7448,0.6006,0.6211,0.844,0.8521,0.6043,0.6289,0.848,0.7594,0.7056,0.7264
1,1,1,3,0,0.8347,0.7333,0.7455,0.739,0.86,0.7731,0.7745,0.7738,0.852,0.8025,0.6573,0.6915,0.856,0.78,0.7079,0.7339
1,1,1,3,1,0.8253,0.7395,0.582,0.5961,0.8307,0.7488,0.6041,0.6257,0.844,0.8431,0.6069,0.6324,0.8533,0.7688,0.7196,0.7393
2,0,0,2,0,0.8307,0.7323,0.7724,0.7483,0.8773,0.8038,0.7906,0.7969,0.864,0.8465,0.6728,0.713,0.8693,0.8189,0.7161,0.7501
2,0,0,2,1,0.8467,0.8022,0.6353,0.6669,0.848,0.8012,0.6415,0.6739,0.8587,0.843,0.6561,0.6942,0.8693,0.8167,0.7188,0.7519
2,0,0,3,0,0.8293,0.7339,0.7877,0.7535,0.876,0.8012,0.7898,0.7952,0.8667,0.8311,0.6931,0.7316,0.8773,0.8266,0.7425,0.7734
2,0,0,3,1,0.86,0.7807,0.7344,0.7535,0.8453,0.7858,0.6425,0.6736,0.852,0.8093,0.652,0.6864,0.8693,0.8091,0.7295,0.7586
2,0,1,2,0,0.8253,0.7244,0.7611,0.7392,0.8773,0.8045,0.7879,0.7958,0.8573,0.8312,0.6579,0.6952,0.868,0.8146,0.7153,0.7485
2,0,1,2,1,0.8373,0.7764,0.6135,0.6389,0.848,0.7977,0.6442,0.6766,0.852,0.8263,0.6413,0.6757,0.8693,0.8167,0.7188,0.7519
2,0,1,3,0,0.828,0.7296,0.7735,0.7466,0.8787,0.8064,0.7914,0.7985,0.8613,0.826,0.6765,0.7143,0.864,0.799,0.7182,0.747
2,0,1,3,1,0.8533,0.7681,0.7223,0.7409,0.844,0.7829,0.639,0.6695,0.8587,0.838,0.6588,0.6968,0.8707,0.8147,0.7277,0.7586
2,1,0,2,0,0.8493,0.7575,0.7973,0.774,0.876,0.8081,0.7684,0.7856,0.864,0.842,0.6754,0.7153,0.8707,0.8311,0.7089,0.7464
2,1,0,2,1,0.8613,0.8083,0.6925,0.7271,0.8347,0.8212,0.5825,0.5969,0.86,0.8237,0.673,0.7105,0.8693,0.8189,0.7161,0.7501
2,1,0,3,0,0.8387,0.7474,0.8095,0.7694,0.88,0.8128,0.7815,0.7956,0.8707,0.8372,0.7036,0.7426,0.8787,0.8349,0.7379,0.772
2,1,0,3,1,0.856,0.7674,0.7587,0.7629,0.8387,0.8154,0.5983,0.6199,0.864,0.8207,0.6915,0.7283,0.88,0.8324,0.7468,0.7783
2,1,1,2,0,0.8467,0.7535,0.7903,0.7689,0.88,0.8118,0.7842,0.7967,0.8587,0.8291,0.6641,0.7018,0.8707,0.8257,0.7143,0.7501
2,1,1,2,1,0.856,0.8041,0.6732,0.7079,0.8413,0.8218,0.6053,0.6297,0.86,0.8356,0.6649,0.7034,0.8747,0.8227,0.7355,0.7669
2,1,1,3,0,0.836,0.7429,0.7998,0.7636,0.8773,0.808,0.7772,0.791,0.8653,0.8399,0.6816,0.7215,0.8747,0.8247,0.7328,0.7653
2,1,1,3,1,0.856,0.7701,0.74,0.7532,0.8413,0.7988,0.616,0.643,0.8547,0.8143,0.659,0.6946,0.8827,0.8303,0.7618,0.7888
3,0,0,2,0,0.8467,0.7557,0.8091,0.7761,0.8787,0.8109,0.778,0.7927,0.8707,0.8561,0.6902,0.7325,0.8707,0.8233,0.717,0.7518
3,0,0,2,1,0.86,0.8061,0.689,0.7235,0.8467,0.8482,0.6139,0.6421,0.8667,0.8345,0.6904,0.7296,0.8773,0.838,0.7291,0.7654
3,0,0,3,0,0.8307,0.74,0.8099,0.7629,0.8813,0.8169,0.7797,0.796,0.872,0.8459,0.7018,0.7424,0.8733,0.8152,0.74,0.7683
3,0,0,3,1,0.856,0.7669,0.764,0.7655,0.8493,0.853,0.6209,0.6516,0.864,0.8269,0.6861,0.7242,0.8827,0.8321,0.7591,0.7874
3,0,1,2,0,0.844,0.7521,0.8047,0.7722,0.8827,0.8187,0.7832,0.7989,0.8667,0.8345,0.6904,0.7296,0.8733,0.835,0.7159,0.7534
3,0,1,2,1,0.86,0.8112,0.6836,0.7193,0.848,0.8429,0.6201,0.6502,0.8667,0.846,0.6824,0.7231,0.8827,0.8508,0.7377,0.7756
3,0,1,3,0,0.8373,0.7475,0.8166,0.7708,0.8827,0.8155,0.7912,0.8024,0.8613,0.8163,0.6845,0.7209,0.8853,0.8464,0.7528,0.7867
3,0,1,3,1,0.852,0.7608,0.7509,0.7556,0.852,0.85,0.6306,0.664,0.864,0.8237,0.6888,0.7263,0.88,0.8248,0.7575,0.784
3,1,0,2,0,0.8413,0.7482,0.7977,0.7673,0.8773,0.8194,0.7532,0.7792,0.8707,0.844,0.6983,0.7387,0.8733,0.838,0.7133,0.7516
3,1,0,2,1,0.86,0.7825,0.7291,0.7504,0.8347,0.8726,0.5718,0.58,0.868,0.8401,0.6913,0.7312,0.876,0.8312,0.731,0.7654
3,1,0,3,0,0.82,0.7273,0.7953,0.7489,0.8813,0.822,0.769,0.791,0.8787,0.8454,0.7273,0.7655,0.8813,0.8386,0.7449,0.7785
3,1,0,3,1,0.848,0.7546,0.7831,0.7671,0.8387,0.8794,0.5823,0.5966,0.8707,0.8311,0.7089,0.7464,0.8773,0.8194,0.7532,0.7792
3,1,1,2,0,0.8493,0.7586,0.808,0.7781,0.8747,0.8155,0.7462,0.7729,0.8733,0.8478,0.7053,0.746,0.8707,0.8372,0.7036,0.7426
